,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__reg_alpha,params,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
14,54.69959100087484,1.8958020090011172,0.28406890233357746,0.00360497023987188,0.01,10,40,4,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.8920394001611353,0.891416994584486,0.8880954544864387,0.8905172830773532,0.00173123991564614,24,0.89615,0.8954875,0.8922625,0.8946333333333333,0.0016981096516093864,22
15,67.19268997510274,1.0307795952913312,0.3725876013437907,0.08583968705723834,0.01,10,50,0,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.8943691236818867,0.8938433005200835,0.8904910720074691,0.8929011654031465,0.0017176602557525296,19,0.898325,0.8976875,0.8944375,0.8968166666666667,0.0017023370373956265,19
16,69.03374719619751,1.359328953007573,0.3198917706807454,0.008463105139742483,0.01,10,50,1,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.8940241733418153,0.8938847520950627,0.89024659169034,0.8927185057090727,0.001748833660475209,20,0.8979625,0.89775,0.8942375,0.8966500000000001,0.0017080995775032174,20
17,67.50324575106303,1.36611538543588,0.3541413942972819,0.05393372279791285,0.01,10,50,4,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.8940622887745021,0.8927476752039067,0.8896625185108207,0.8921574941630764,0.001844040823664242,21,0.898125,0.896775,0.893825,0.8962416666666666,0.0017955191140416342,21
18,110.73060727119446,0.7596735361096429,0.7116462389628092,0.03742653920741495,0.01,20,40,0,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 0}",0.9031697341513293,0.9021490099706896,0.899932309028443,0.901750351050154,0.0013514010156786109,17,0.9053,0.9044375,0.9020625,0.9039333333333334,0.0013689386602604094,18
19,104.96204161643982,1.470952903098994,0.5887603759765625,0.014642044400570757,0.01,20,40,1,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 1}",0.9044058231257616,0.9038096216049699,0.9001383055014854,0.902784583410739,0.0018869647838263117,16,0.9068375,0.906325,0.902525,0.9052291666666666,0.001923547431757839,16
20,105.46080899238586,1.5279499669811891,0.4667657216389974,0.007415487734298648,0.01,20,40,4,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.9029988272742503,0.9027897798356829,0.898504466009421,0.901431024373118,0.0020711483288241694,18,0.9059125,0.9057875,0.901425,0.904375,0.002086589122627304,17
21,136.81690661112467,0.9005271214633386,1.2524350484212239,0.4614005340758443,0.01,20,50,0,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.9053902014933005,0.9045966264936794,0.9007344957526984,0.9035737745798927,0.0020336450876724988,14,0.9075,0.9068875,0.9028625,0.9057499999999999,0.0020570255629589486,15
22,130.77909366289774,1.8572780601833034,0.971768299738566,0.3592272405061584,0.01,20,50,1,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.9059024258829264,0.9056279278701149,0.9012514891055119,0.9042606142861844,0.0021307217954607653,13,0.9083125,0.9080875,0.9036375,0.9066791666666667,0.0021527437273292887,13
23,130.6310180823008,1.7440475928355568,0.5747573375701904,0.011543005649235586,0.01,20,50,4,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.9046980903538387,0.9044058882672922,0.8997656994258348,0.9029565593489886,0.0022594299873695423,15,0.90755,0.9073,0.902675,0.9058416666666665,0.002241496276052116,14
