,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__reg_alpha,params,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
13,95.36704317728679,0.30747865407573804,0.3237930138905843,0.0907718447299026,0.01,10,40,1,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 1}",0.904430996461357,0.9032664447044003,0.9031637287352783,0.903620389967012,0.0005747172110897041,23,0.906825,0.9059375,0.90565,0.9061374999999999,0.0005001041558182497,23
14,94.95217680931091,0.36773202730838794,0.2534128824869792,0.000803669489210975,0.01,10,40,4,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.9045246777258488,0.9021658145569458,0.9028219599794766,0.9031708174207571,0.0009940942269739273,24,0.90705,0.9048,0.9053,0.9057166666666667,0.0009646530752325149,24
15,120.36845437685649,0.6775342018386901,0.2939855257670085,0.00291493006935014,0.01,10,50,0,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.9061931016797026,0.9053099391168083,0.9050692190246468,0.9055240866070525,0.00048316485541841347,20,0.90855,0.90785,0.9075125,0.9079708333333333,0.00043208956118940926,20
16,118.54234067598979,1.2066469286347261,0.34060144424438477,0.07053449815555914,0.01,10,50,1,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.9062311570682643,0.9053729464503616,0.90497389251671,0.9055259986784453,0.0005245615798231177,19,0.9086375,0.9079125,0.9074125,0.9079875,0.0005029082089871645,19
17,119.40729959805806,1.303922978496352,0.3712159792582194,0.11149027232153454,0.01,10,50,4,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.9062383648525465,0.9046463557113329,0.9039801825159477,0.9049549676932758,0.0009473745767050833,21,0.9087125,0.9071625,0.9064875,0.9074541666666667,0.0009314713569879214,21
18,193.58450881640115,1.5039798418076311,0.6160931587219238,0.0458371266466366,0.01,20,40,0,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 0}",0.9131516798293505,0.9118334773547502,0.9131164636162473,0.9127005402667826,0.000613274607052468,17,0.9145,0.913275,0.9146,0.914125,0.000602425652397606,18
19,183.97139326731363,1.1965293902901533,0.5115474859873453,0.01983696410736799,0.01,20,40,1,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 1}",0.9141956156858756,0.913366368164274,0.9139479483815081,0.9138366440772193,0.0003475671149917471,16,0.91565,0.9149875,0.9155625,0.9154,0.00029386079470842576,16
20,182.53633666038513,1.660051182846632,0.4510631561279297,0.009435980096732485,0.01,20,40,4,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.9134400714422403,0.9134097853462714,0.9109325703483248,0.9125941423789454,0.0011749739065494266,18,0.9151875,0.9153375,0.9128375,0.9144541666666667,0.0011447949840716573,17
21,243.62714219093323,0.38095393759833124,1.036339282989502,0.4075319681749383,0.01,20,50,0,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.9151082427075922,0.9138097660223804,0.9146870586438995,0.9145350224579575,0.0005408922732464189,14,0.916475,0.915275,0.9161875,0.9159791666666667,0.0005115675799822851,15
22,230.75756939252219,1.8057523890547582,0.6376434961954752,0.01341742237108632,0.01,20,50,1,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.9154675344485685,0.9152041193489593,0.914957580698581,0.9152097448320363,0.000208225745008427,13,0.916875,0.9168375,0.91655,0.9167541666666666,0.0001451770949182076,13
23,228.37593563397726,1.7104951467014964,0.6945752302805582,0.2441500655004855,0.01,20,50,4,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.9153757815490622,0.9151575608757929,0.9119266289422253,0.9141533237890268,0.0015770293848751966,15,0.9171,0.917075,0.9138125,0.9159958333333335,0.0015438835412325792,14
